Type,index,HBA,Smiles1,CAS_HBA,molar1,HBD,Smiles2,CAS_HBD,molar2,Set,T/K,Viscosity,Log viscosity,Smiles,,group,HBA Count1,HBD Count1,HBA Count2,HBD Count2,,Normal_T
III,44,Acetylcholine chloride,CC(=O)OCC[N+](C)(C)C.[Cl-],60-31-1,0.5,D-mannose,C([C@@H]1[C@H]([C@@H]([C@@H](C(O1)O)O)O)O)O,3458-28-4,0.5,training,353.15,76.01,4.33,CC(=O)OCC[N+](C)(C)C.[Cl-].C([C@@H]1[C@H]([C@@H]([C@@H](C(O1)O)O)O)O)O,.,15,2,0,6,5,,1.691223299
III,45,Acetylcholine chloride,CC(=O)OCC[N+](C)(C)C.[Cl-],60-31-1,0.5,D-mannose,C([C@@H]1[C@H]([C@@H]([C@@H](C(O1)O)O)O)O)O,3458-28-4,0.5,training,363.15,47.3,3.86,CC(=O)OCC[N+](C)(C)C.[Cl-].C([C@@H]1[C@H]([C@@H]([C@@H](C(O1)O)O)O)O)O,.,15,2,0,6,5,,2.183170814
III,46,Acetylcholine chloride,CC(=O)OCC[N+](C)(C)C.[Cl-],60-31-1,0.5,D-ribose,C1[C@H]([C@H]([C@H](C(O1)O)O)O)O,50-69-1,0.5,training,293.15,2261.33,7.72,CC(=O)OCC[N+](C)(C)C.[Cl-].C1[C@H]([C@H]([C@H](C(O1)O)O)O)O,.,20,2,0,5,4,,-1.260461785
III,47,Acetylcholine chloride,CC(=O)OCC[N+](C)(C)C.[Cl-],60-31-1,0.5,D-ribose,C1[C@H]([C@H]([C@H](C(O1)O)O)O)O,50-69-1,0.5,training,303.15,849.99,6.75,CC(=O)OCC[N+](C)(C)C.[Cl-].C1[C@H]([C@H]([C@H](C(O1)O)O)O)O,.,20,2,0,5,4,,-0.768514271
III,48,Acetylcholine chloride,CC(=O)OCC[N+](C)(C)C.[Cl-],60-31-1,0.5,D-ribose,C1[C@H]([C@H]([C@H](C(O1)O)O)O)O,50-69-1,0.5,training,308.15,552.83,6.32,CC(=O)OCC[N+](C)(C)C.[Cl-].C1[C@H]([C@H]([C@H](C(O1)O)O)O)O,.,20,2,0,5,4,,-0.522540514
III,49,Acetylcholine chloride,CC(=O)OCC[N+](C)(C)C.[Cl-],60-31-1,0.5,D-ribose,C1[C@H]([C@H]([C@H](C(O1)O)O)O)O,50-69-1,0.5,training,318.15,257.91,5.55,CC(=O)OCC[N+](C)(C)C.[Cl-].C1[C@H]([C@H]([C@H](C(O1)O)O)O)O,.,20,2,0,5,4,,-0.030593
III,50,Acetylcholine chloride,CC(=O)OCC[N+](C)(C)C.[Cl-],60-31-1,0.5,D-ribose,C1[C@H]([C@H]([C@H](C(O1)O)O)O)O,50-69-1,0.5,training,323.15,183.94,5.21,CC(=O)OCC[N+](C)(C)C.[Cl-].C1[C@H]([C@H]([C@H](C(O1)O)O)O)O,.,20,2,0,5,4,,0.215380757
III,51,Acetylcholine chloride,CC(=O)OCC[N+](C)(C)C.[Cl-],60-31-1,0.5,D-ribose,C1[C@H]([C@H]([C@H](C(O1)O)O)O)O,50-69-1,0.5,training,333.15,100.98,4.61,CC(=O)OCC[N+](C)(C)C.[Cl-].C1[C@H]([C@H]([C@H](C(O1)O)O)O)O,.,20,2,0,5,4,,0.707328271
III,52,Acetylcholine chloride,CC(=O)OCC[N+](C)(C)C.[Cl-],60-31-1,0.5,D-ribose,C1[C@H]([C@H]([C@H](C(O1)O)O)O)O,50-69-1,0.5,training,338.15,77.45,4.35,CC(=O)OCC[N+](C)(C)C.[Cl-].C1[C@H]([C@H]([C@H](C(O1)O)O)O)O,.,20,2,0,5,4,,0.953302028
III,53,Acetylcholine chloride,CC(=O)OCC[N+](C)(C)C.[Cl-],60-31-1,0.5,D-ribose,C1[C@H]([C@H]([C@H](C(O1)O)O)O)O,50-69-1,0.5,training,348.15,48.29,3.88,CC(=O)OCC[N+](C)(C)C.[Cl-].C1[C@H]([C@H]([C@H](C(O1)O)O)O)O,.,20,2,0,5,4,,1.445249542
III,54,Acetylcholine chloride,CC(=O)OCC[N+](C)(C)C.[Cl-],60-31-1,0.5,D-ribose,C1[C@H]([C@H]([C@H](C(O1)O)O)O)O,50-69-1,0.5,training,353.15,39.09,3.67,CC(=O)OCC[N+](C)(C)C.[Cl-].C1[C@H]([C@H]([C@H](C(O1)O)O)O)O,.,20,2,0,5,4,,1.691223299
III,55,Acetylcholine chloride,CC(=O)OCC[N+](C)(C)C.[Cl-],60-31-1,0.5,D-xylose,C1[C@H]([C@@H]([C@H](C(O1)O)O)O)O,31178-70-8,0.5,training,298.15,2229.33,7.71,CC(=O)OCC[N+](C)(C)C.[Cl-].C1[C@H]([C@@H]([C@H](C(O1)O)O)O)O,.,18,2,0,5,4,,-1.014488028
III,56,Acetylcholine chloride,CC(=O)OCC[N+](C)(C)C.[Cl-],60-31-1,0.5,D-xylose,C1[C@H]([C@@H]([C@H](C(O1)O)O)O)O,31178-70-8,0.5,training,303.15,1336.5,7.2,CC(=O)OCC[N+](C)(C)C.[Cl-].C1[C@H]([C@@H]([C@H](C(O1)O)O)O)O,.,18,2,0,5,4,,-0.768514271
III,57,Acetylcholine chloride,CC(=O)OCC[N+](C)(C)C.[Cl-],60-31-1,0.5,D-xylose,C1[C@H]([C@@H]([C@H](C(O1)O)O)O)O,31178-70-8,0.5,training,313.15,545.54,6.3,CC(=O)OCC[N+](C)(C)C.[Cl-].C1[C@H]([C@@H]([C@H](C(O1)O)O)O)O,.,18,2,0,5,4,,-0.276566757
